시군명,종류,시설명,주소,전화번호
천안시,양로시설,천안실버타운,충청남도 천안시 동남구 목천읍 운전4길 6,041-555-7773
천안시,양로시설,뉴천안실버타운,충청남도 천안시 동남구 목천읍 운전4길 20,041-557-7779
아산시,양로시설,사회복지법인 정애케어 온양정애원,충청남도 아산시 청운로 112번길 23-5,041-545-2440
논산시,양로시설,죽림노인양로원,충청남도 논산시 연무읍 죽림동길 82,041-742-4524
논산시,노인공동생활가정,샬롬의집,충청남도 논산시 양촌면 매죽헌로1723번길 97-14,041-741-9032
논산시,노인공동생활가정,루가의집,충청남도 논산시 벌곡면 황룡재로 480-54,041-733-1794
당진시,양로시설,솔뫼베네딕도의집,충청남도 당진시 우강면 솔뫼로 154,041-363-7787
금산군,노인공동생활가정,축복의동산양로원,충청남도 금산군 제원면 흰바우길 171,041-754-5592
예산군,양로시설,은혜의집,충청남도 예산군 삽교평야로 189-10,041-338-9400
예산군,노인공동생활가정,늘푸른실버홈,충청남도 예산군 봉산면 당곡옥전길 149-42,041-338-6507
공주시,노인복지주택,공주원로원,충청남도 공주시 연수원길 47-30,041-853-2347
